test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
AT1G01010	AT1G01010	NAC001	1:3630-5899	GL_12h_control	HL_12h_treatment	OK	7.34869	13.7675	0.905703	3.63862	5e-05	0.000354903	yes
AT1G01020	AT1G01020	ARV1	1:5927-8737	GL_12h_control	HL_12h_treatment	OK	8.47499	9.36083	0.143425	0.520414	0.46365	0.655442	no
AT1G01030	AT1G01030	NGA3	1:11648-13714	GL_12h_control	HL_12h_treatment	OK	2.72991	2.37379	-0.201664	-0.628218	0.37365	0.573339	no
AT1G01040	AT1G01040	DCL1	1:23145-33153	GL_12h_control	HL_12h_treatment	OK	8.61131	8.0088	-0.104647	-0.279886	0.692	0.829193	no
AT1G01046	AT1G01046	MIR838A	1:23145-33153	GL_12h_control	HL_12h_treatment	OK	18.0757	9.83773	-0.877655	-0.214404	0.72575	0.852027	no
AT1G01050	AT1G01050	PPA1	1:23145-33153	GL_12h_control	HL_12h_treatment	OK	97.3757	111.312	0.192971	0.669935	0.33245	0.532547	no
AT1G01060	AT1G01060	LHY	1:33378-37871	GL_12h_control	HL_12h_treatment	OK	77.1677	101.967	0.40203	1.7349	0.0134	0.0471844	yes
AT1G01070	AT1G01070	AT1G01070	1:38751-40944	GL_12h_control	HL_12h_treatment	OK	5.43439	5.83153	0.101755	0.346441	0.61385	0.772604	no
AT1G01073	AT1G01073	AT1G01073	1:44676-44787	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G01080	AT1G01080	AT1G01080	1:45295-47019	GL_12h_control	HL_12h_treatment	OK	77.1244	61.0406	-0.337418	-1.50401	0.0296	0.0894135	no
AT1G01090	AT1G01090	PDH-E1 ALPHA	1:47484-49286	GL_12h_control	HL_12h_treatment	OK	171.553	148.182	-0.21129	-0.910805	0.1936	0.370321	no
AT1G01100	AT1G01100	RPP1A	1:50074-51199	GL_12h_control	HL_12h_treatment	OK	501.283	549.93	0.133623	0.583591	0.4112	0.608483	no
AT1G01110	AT1G01110	IQD18	1:52238-54692	GL_12h_control	HL_12h_treatment	OK	2.8597	1.81092	-0.659145	-1.90435	0.00865	0.0328098	yes
AT1G01115	AT1G01115	AT1G01115	1:56623-56740	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
